grid_id,external_id_type,external_id
grid.5406.7,ISNI,000000012178835X
grid.5433.1,ISNI,0000 0001 2316 4305
grid.5465.2,ISNI,0000 0004 0430 9363
grid.5475.3,ISNI,0000 0004 0407 4824
grid.5475.3,FundRef,501100003513
grid.5475.3,FundRef,501100004353
grid.5475.3,HESA,0161
grid.5475.3,UCAS,S85
grid.5475.3,UKPRN,10007160
grid.5477.1,ISNI,0000000120346234
grid.5477.1,FundRef,501100001829
grid.5477.1,FundRef,501100002989
grid.5491.9,ISNI,0000 0004 1936 9297
grid.5491.9,FundRef,501100000739
grid.5491.9,HESA,0160
grid.5491.9,UCAS,S27
grid.5491.9,UKPRN,10007158
grid.5507.7,ISNI,0000 0001 0740 5199
grid.5509.9,ISNI,0000 0001 2314 6254
grid.5509.9,FundRef,501100004371
grid.5510.1,ISNI,0000 0004 1936 8921
grid.5510.1,FundRef,501100005366
grid.5515.4,ISNI,0000000119578126
grid.5515.4,FundRef,501100004593
grid.5522.0,ISNI,0000 0001 2162 9631
grid.5560.6,ISNI,0000 0001 1009 3608
grid.5570.7,ISNI,0000 0004 0490 981X
grid.5571.6,ISNI,0000 0001 2289 818X
grid.5583.b,ISNI,0000 0001 2299 8025
grid.5586.e,ISNI,0000 0004 0639 2885
grid.5586.e,FundRef,501100004404
grid.5586.e,FundRef,501100002347
grid.5586.e,FundRef,501100004937
grid.5590.9,ISNI,0000000122931605
grid.5590.9,FundRef,501100001832
grid.5591.8,ISNI,0000 0001 2294 6276
grid.5595.c,ISNI,0000000110145201
grid.5596.f,ISNI,0000 0001 0668 7884
grid.5596.f,FundRef,501100004040
grid.5596.f,FundRef,501100004497
grid.5600.3,ISNI,0000 0001 0807 5670
grid.5600.3,FundRef,501100000866
grid.5600.3,HESA,0179
grid.5600.3,UCAS,C15
grid.5600.3,UKPRN,10007814
grid.5601.2,ISNI,0000 0001 0943 599X
grid.5602.1,ISNI,0000 0000 9745 6549
grid.5606.5,ISNI,0000 0001 2151 3065
grid.5607.4,ISNI,0000000121105547
grid.5607.4,FundRef,100007649
grid.5608.b,ISNI,0000 0004 1757 3470
grid.5608.b,FundRef,501100003500
grid.5611.3,ISNI,0000 0004 1763 1124
grid.5612.0,ISNI,0000 0001 2172 2676
grid.5613.1,ISNI,0000 0001 2298 9313
grid.5633.3,ISNI,0000 0001 2097 3545
grid.5645.2,ISNI,000000040459992X
grid.5645.2,FundRef,501100003061
grid.5650.6,ISNI,0000000404654431
grid.5650.6,FundRef,501100003180
grid.5659.f,ISNI,0000 0001 0940 2872
grid.5675.1,ISNI,0000 0001 0416 9637
grid.5676.2,ISNI,0000000417654326
grid.5681.a,ISNI,0000 0001 0943 1999
grid.5685.e,ISNI,0000 0004 1936 9668
grid.5685.e,HESA,0164
grid.5685.e,UCAS,Y50
grid.5685.e,UKPRN,10007167
grid.5690.a,ISNI,0000 0001 2151 2978
grid.5690.a,FundRef,501100003759
grid.5718.b,ISNI,0000 0001 2187 5445
grid.5719.a,ISNI,0000 0004 1936 9713
grid.5734.5,ISNI,0000 0001 0726 5157
grid.5740.6,ISNI,0000 0000 9120 5458
grid.5771.4,ISNI,0000 0001 2151 8122
grid.5801.c,ISNI,0000 0001 2156 2780
grid.5801.c,FundRef,501100003070
grid.5801.c,FundRef,501100003006
grid.5802.f,ISNI,0000 0001 1941 7111
grid.5802.f,FundRef,501100003783
grid.5802.f,FundRef,501100004812
grid.5805.8,ISNI,0000 0001 1955 3500
grid.5805.8,FundRef,501100005737
grid.5807.a,ISNI,0000 0001 1018 4307
grid.5808.5,ISNI,0000 0001 1503 7226
grid.5809.4,ISNI,0000 0000 9987 7806
grid.5836.8,ISNI,0000 0001 2242 8751
grid.5841.8,ISNI,0000 0004 1937 0247
grid.5841.8,FundRef,501100005774
grid.5842.b,ISNI,0000 0001 2171 2558
grid.5846.f,ISNI,0000 0001 2161 9644
grid.5846.f,FundRef,501100001315
grid.5846.f,HESA,0060
grid.5846.f,UCAS,H36
grid.5846.f,UKPRN,10007147
grid.5853.b,ISNI,0000 0004 1757 1854
grid.5855.d,ISNI,0000 0004 0625 0529
grid.5884.1,ISNI,0000 0001 0303 540X
grid.5884.1,HESA,0075
grid.5884.1,UCAS,S21
grid.5884.1,UKPRN,10005790
grid.5887.2,ISNI,000000009562545X
grid.5892.6,ISNI,0000 0001 0087 7257
grid.5911.c,ISNI,0000000122646644
grid.5924.a,ISNI,0000000419370271
grid.5924.a,FundRef,501100002832
grid.5942.a,ISNI,0000 0004 1759 508X
grid.5947.f,ISNI,0000 0001 1516 2393
grid.5949.1,ISNI,0000 0001 2172 9288
grid.5949.1,FundRef,501100004869
grid.5963.9,FundRef,501100002714
grid.5970.b,ISNI,0000 0004 1762 9868
grid.5991.4,ISNI,0000 0001 1090 7501
grid.5991.4,FundRef,501100004219
grid.6045.7,ISNI,0000 0004 1757 5281
grid.6045.7,FundRef,501100004007
grid.6054.7,ISNI,0000 0004 0369 4183
grid.6057.4,ISNI,0000 0001 0289 1343
grid.6066.6,ISNI,0000000119564832
grid.6068.8,ISNI,0000000121654853
grid.6078.9,ISNI,0000 0001 0194 8440
grid.6083.d,ISNI,0000 0004 0635 6999
grid.6094.b,ISNI,0000000106922258
grid.6142.1,ISNI,0000 0004 0488 0789
grid.6142.1,FundRef,100007630
grid.6162.3,ISNI,0000 0001 2174 6723
grid.6190.e,ISNI,0000 0000 8580 3777
grid.6203.7,ISNI,0000 0004 0417 4147
grid.6214.1,ISNI,0000 0004 0399 8953
grid.6214.1,FundRef,501100001834
grid.6227.1,ISNI,0000000121892165
grid.6268.a,ISNI,0000 0004 0379 5283
grid.6268.a,HESA,0111
grid.6268.a,UCAS,B56
grid.6268.a,UKPRN,10007785
grid.6276.5,ISNI,0000 0004 0618 8606
grid.6279.a,ISNI,0000 0001 2158 1682
grid.6282.e,ISNI,0000000108382590
grid.6289.5,ISNI,0000 0001 2188 0893
grid.6290.d,ISNI,0000 0004 0547 722X
grid.6292.f,ISNI,0000 0004 1757 1758
grid.6303.6,ISNI,0000 0001 0123 6216
grid.6312.6,ISNI,0000 0001 2097 6738
grid.6324.3,ISNI,0000 0004 0400 1852
grid.6341.0,ISNI,0000 0000 8578 2742
grid.6341.0,FundRef,501100004360
grid.6357.7,ISNI,0000 0001 0739 3220
grid.6357.7,FundRef,501100004352
grid.6363.0,ISNI,0000 0001 2218 4662
grid.6363.0,FundRef,501100002839
grid.6374.6,ISNI,0000000106935374
grid.6374.6,HESA,0085
grid.6374.6,UCAS,W75
grid.6374.6,UKPRN,10007166
grid.6383.e,ISNI,0000000121048052
grid.6385.8,ISNI,0000 0000 9294 0542
grid.6390.c,ISNI,0000 0004 1765 0915
grid.6401.3,ISNI,0000 0004 1758 0806
grid.6407.5,ISNI,0000 0004 0447 9960
grid.6408.a,ISNI,0000 0004 0516 8160
grid.6408.a,FundRef,501100001627
grid.6435.4,ISNI,0000 0001 1512 9569
grid.6435.4,FundRef,501100001604
grid.6441.7,ISNI,0000 0001 2243 2806
grid.6451.6,ISNI,0000000121102151
grid.6496.d,ISNI,0000 0004 1763 8481
grid.6518.a,ISNI,0000 0001 2034 5266
grid.6518.a,FundRef,501100001318
grid.6518.a,HESA,0081
grid.6518.a,UCAS,B80
grid.6518.a,UKPRN,10007164
grid.6520.1,ISNI,0000 0001 2242 8479
grid.6530.0,ISNI,0000 0001 2300 0941
grid.6546.1,ISNI,0000 0001 0940 1669
grid.6546.1,FundRef,501100003072
grid.6553.5,ISNI,0000 0001 1087 7453
grid.6569.c,ISNI,0000000122596931
grid.6571.5,ISNI,0000 0004 1936 8542
grid.6571.5,FundRef,501100000634
grid.6571.5,FundRef,501100000857
grid.6571.5,HESA,0152
grid.6571.5,UCAS,L79
grid.6571.5,UKPRN,10004113
grid.6572.6,ISNI,0000 0004 1936 7486
grid.6572.6,FundRef,501100000855
grid.6572.6,HESA,0110
grid.6572.6,UCAS,B32
grid.6572.6,UKPRN,10006840
grid.6575.1,ISNI,0000000093795973
grid.6582.9,ISNI,0000 0004 1936 9748
grid.6583.8,ISNI,0000 0000 9686 6466
grid.6584.f,ISNI,0000 0004 0553 2276
grid.6603.3,ISNI,0000000121167908
grid.6612.3,ISNI,0000 0004 1937 0642
grid.6615.4,ISNI,0000 0001 2364 3824
grid.6652.7,ISNI,0000000121738213
grid.6652.7,FundRef,100007655
grid.6717.7,ISNI,0000000120341548
grid.6722.1,ISNI,0000 0004 0393 4570
grid.6734.6,ISNI,0000 0001 2292 8254
grid.6738.a,ISNI,0000 0001 1090 0254
grid.6738.a,FundRef,501100004871
grid.6759.d,ISNI,0000000110097481
grid.6809.7,ISNI,0000 0004 0622 3117
grid.6810.f,ISNI,0000 0001 2294 5505
